CBS_Original,CBS_L1,CBS_L2,CBS_Canonical,Notes
PROFESSIONAL-ADMIN,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
PROFESSIONAL-FIELD,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
PROFESSIONAL-HSE,"Quality, Safety & Environment",HSE & Quality Assurance,"Quality, Safety & Environment > HSE & Quality Assurance","HSE, QA/QC, inspections, environmental compliance"
PROFESSIONAL-MGMT,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
PROFESSIONAL-QA,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
PROFESSIONAL_SERVICES,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
PROF_STAFF,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
PROJECT_MANAGEMENT,Professional Services,Project Management,Professional Services > Project Management,"Project management, supervision, coordination, admin"
Permit,"Permits, Fees & Insurance","Permits, Fees & Bonding","Permits, Fees & Insurance > Permits, Fees & Bonding","Permits, inspection fees, regulatory fees, bonding"
Permits,"Permits, Fees & Insurance","Permits, Fees & Bonding","Permits, Fees & Insurance > Permits, Fees & Bonding","Permits, inspection fees, regulatory fees, bonding"
Permits and Admin,"Permits, Fees & Insurance","Permits, Fees & Bonding","Permits, Fees & Insurance > Permits, Fees & Bonding","Permits, inspection fees, regulatory fees, bonding"
Professional,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
Professional Services,Professional Services,Project Management,Professional Services > Project Management,"Project management, supervision, coordination, admin"
Professional Services — Administration,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
Professional Services — Design,Professional Services,Design & Engineering,Professional Services > Design & Engineering,Design and engineering labour across all disciplines
Professional Services — Geotechnical,Professional Services,Specialty Consulting,Professional Services > Specialty Consulting,"Geotechnical, regulatory, and specialty consulting"
Professional Services — Management,Professional Services,Project Management,Professional Services > Project Management,"Project management, supervision, coordination, admin"
Professional Services — Regulatory,Professional Services,Specialty Consulting,Professional Services > Specialty Consulting,"Geotechnical, regulatory, and specialty consulting"
Professional Services — Specialty,Professional Services,Specialty Consulting,Professional Services > Specialty Consulting,"Geotechnical, regulatory, and specialty consulting"
Professional-BIM,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
Professional-Civil,Professional Services,Design & Engineering,Professional Services > Design & Engineering,Design and engineering labour across all disciplines
Professional-DocControl,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
Professional-EST,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
Professional-Estimator,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
Professional-HSE,"Quality, Safety & Environment",HSE & Quality Assurance,"Quality, Safety & Environment > HSE & Quality Assurance","HSE, QA/QC, inspections, environmental compliance"
Professional-Mgmt,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
Professional-PM,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
Professional-QAQC,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
Professional-Staff,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
Professional-StructEng,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
Professional-WeldInsp,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
QA-QC,"Quality, Safety & Environment",HSE & Quality Assurance,"Quality, Safety & Environment > HSE & Quality Assurance","HSE, QA/QC, inspections, environmental compliance"
QA_QC,"Quality, Safety & Environment",HSE & Quality Assurance,"Quality, Safety & Environment > HSE & Quality Assurance","HSE, QA/QC, inspections, environmental compliance"
QUALITY,"Quality, Safety & Environment",HSE & Quality Assurance,"Quality, Safety & Environment > HSE & Quality Assurance","HSE, QA/QC, inspections, environmental compliance"
Quality Assurance,"Quality, Safety & Environment",HSE & Quality Assurance,"Quality, Safety & Environment > HSE & Quality Assurance","HSE, QA/QC, inspections, environmental compliance"
REGULATORY,"Permits, Fees & Insurance","Permits, Fees & Bonding","Permits, Fees & Insurance > Permits, Fees & Bonding","Permits, inspection fees, regulatory fees, bonding"
SAFETY,"Quality, Safety & Environment",HSE & Quality Assurance,"Quality, Safety & Environment > HSE & Quality Assurance","HSE, QA/QC, inspections, environmental compliance"
SCOPE,General Conditions,General Requirements & Indirect,General Conditions > General Requirements & Indirect,"General conditions, documentation, closeout, freight, contingency"
SITE.CONCRETE,Concrete,Concrete & Foundations,Concrete > Concrete & Foundations,"Structural concrete, foundations, slabs, stairs"
SITE.EARTHWORK,Sitework & Civil,"Earthwork, Surfacing & Landscaping","Sitework & Civil > Earthwork, Surfacing & Landscaping","Excavation, grading, surfacing, landscaping, demolition"
SITE.GRAVEL,Sitework & Civil,"Earthwork, Surfacing & Landscaping","Sitework & Civil > Earthwork, Surfacing & Landscaping","Excavation, grading, surfacing, landscaping, demolition"
SITE.HSE,"Quality, Safety & Environment",HSE & Quality Assurance,"Quality, Safety & Environment > HSE & Quality Assurance","HSE, QA/QC, inspections, environmental compliance"
SITE.MGMT,Professional Services,Project Management,Professional Services > Project Management,"Project management, supervision, coordination, admin"
SITE.QA,"Quality, Safety & Environment",HSE & Quality Assurance,"Quality, Safety & Environment > HSE & Quality Assurance","HSE, QA/QC, inspections, environmental compliance"
SITE.SURVEY,Survey & Investigation,Survey & Field Investigation,Survey & Investigation > Survey & Field Investigation,"Surveys, geotechnical/environmental investigation"
STAFF,Professional Services,Professional Staff,Professional Services > Professional Staff,Professional staff allocations (multi-function)
STRUCTURAL_CONCRETE,Concrete,Concrete & Foundations,Concrete > Concrete & Foundations,"Structural concrete, foundations, slabs, stairs"
STRUCTURAL_STEEL,Structural Steel & Metals,Structural Steel & Fabrication,Structural Steel & Metals > Structural Steel & Fabrication,"Structural steel framing, fabrication, erection, connections"
SURVEY,Survey & Investigation,Survey & Field Investigation,Survey & Investigation > Survey & Field Investigation,"Surveys, geotechnical/environmental investigation"
Specialty,General Conditions,General Requirements & Indirect,General Conditions > General Requirements & Indirect,"General conditions, documentation, closeout, freight, contingency"
Surfacing,Sitework & Civil,"Earthwork, Surfacing & Landscaping","Sitework & Civil > Earthwork, Surfacing & Landscaping","Excavation, grading, surfacing, landscaping, demolition"
Survey,Survey & Investigation,Survey & Field Investigation,Survey & Investigation > Survey & Field Investigation,"Surveys, geotechnical/environmental investigation"
TESTING,Commissioning & Testing,"Commissioning, Testing & Inspection","Commissioning & Testing > Commissioning, Testing & Inspection","Systems commissioning, lab testing, functional verification"
Testing & Inspection,Commissioning & Testing,"Commissioning, Testing & Inspection","Commissioning & Testing > Commissioning, Testing & Inspection","Systems commissioning, lab testing, functional verification"
Testing and Commissioning,Commissioning & Testing,"Commissioning, Testing & Inspection","Commissioning & Testing > Commissioning, Testing & Inspection","Systems commissioning, lab testing, functional verification"
UNDERGROUND,Sitework & Civil,Underground Utilities & Site Services,Sitework & Civil > Underground Utilities & Site Services,"Underground piping, conduit, site services"
Underground Utilities,Sitework & Civil,Underground Utilities & Site Services,Sitework & Civil > Underground Utilities & Site Services,"Underground piping, conduit, site services"
Utility — Communications,Utilities,Utility Connections,Utilities > Utility Connections,"Utility connections (electrical, gas, communications)"
Utility — Electrical,Utilities,Utility Connections,Utilities > Utility Connections,"Utility connections (electrical, gas, communications)"
Utility — Natural Gas,Utilities,Utility Connections,Utilities > Utility Connections,"Utility connections (electrical, gas, communications)"
VERIFICATION,Commissioning & Testing,"Commissioning, Testing & Inspection","Commissioning & Testing > Commissioning, Testing & Inspection","Systems commissioning, lab testing, functional verification"
WATERPROOFING,Building Envelope,"Cladding, Insulation & Waterproofing","Building Envelope > Cladding, Insulation & Waterproofing","Exterior wall systems, insulation, waterproofing"
